Song Title | Composer | Voice Type | Tonality | Filename
Das Mädchen aus der Fremde - D117 or 252 | Schubert, Franz | Medium | Original | Das_Mädchen_aus_der_Fremde_-_D117_or_252_Medium_Original.pdf
Das Mädchen aus der Fremde - D252 | Schubert, Franz | Medium | Original | Das_Mädchen_aus_der_Fremde_-_D252_Medium_Original.pdf
Das Mädchen von Inistore - D281 | Schubert, Franz | Medium | Original | Das_Mädchen_von_Inistore_-_D281_Medium_Original.pdf
Das Marienbild - D623 | Schubert, Franz | Medium | Original | Das_Marienbild_-_D623_Medium_Original.pdf
Das Rosenband - D280 | Schubert, Franz | Medium | Original | Das_Rosenband_-_D280_Medium_Original.pdf
Das Sehnen - D231 | Schubert, Franz | Medium | Original | Das_Sehnen_-_D231_Medium_Original.pdf
Daß sie hier gewesen - D775 | Schubert, Franz | Medium | Original | Daß_sie_hier_gewesen_-_D775_Medium_Original.pdf
Das war ich - D174 | Schubert, Franz | Medium | Original | Das_war_ich_-_D174_Medium_Original.pdf
Das Weinen - D926 | Schubert, Franz | Medium | Original | Das_Weinen_-_D926_Medium_Original.pdf
Das Zügenglöcklein - D871 | Schubert, Franz | Medium | Original | Das_Zügenglöcklein_-_D871_Medium_Original.pdf
Delphine - D857 | Schubert, Franz | Medium | Original | Delphine_-_D857_Medium_Original.pdf
Dem Unendlichen - D291 | Schubert, Franz | Medium | Original | Dem_Unendlichen_-_D291_Medium_Original.pdf
Der Abend - D108 | Schubert, Franz | Medium | Original | Der_Abend_-_D108_Medium_Original.pdf
Der Abend - D221 | Schubert, Franz | Medium | Original | Der_Abend_-_D221_Medium_Original.pdf
Der Alpenjäger - D524 | Schubert, Franz | Low | Original | Der_Alpenjäger_-_D524_Low_Original.pdf
Der Alpenjäger - D588 | Schubert, Franz | Medium | Original | Der_Alpenjäger_-_D588_Medium_Original.pdf
Der blinde Knabe - D833 | Schubert, Franz | Medium | Original | Der_blinde_Knabe_-_D833_Medium_Original.pdf
Der Blumen Schmerz - D731 | Schubert, Franz | Medium | Original | Der_Blumen_Schmerz_-_D731_Medium_Original.pdf
Der Blumenbrief - D622 | Schubert, Franz | Medium | Original | Der_Blumenbrief_-_D622_Medium_Original.pdf
Der Einsame - D800 | Schubert, Franz | Medium | Original | Der_Einsame_-_D800_Medium_Original.pdf
Der Entfernten - D350 | Schubert, Franz | Medium | Original | Der_Entfernten_-_D350_Medium_Original.pdf
Der entsühnte Orest - D699 | Schubert, Franz | Medium | Original | Der_entsühnte_Orest_-_D699_Medium_Original.pdf
Der Fischer - D225 | Schubert, Franz | Medium | Original | Der_Fischer_-_D225_Medium_Original.pdf
Der Flüchtling - D402 | Schubert, Franz | Medium | Original | Der_Flüchtling_-_D402_Medium_Original.pdf
Der Flug der Zeit - D515 | Schubert, Franz | Medium | Original | Der_Flug_der_Zeit_-_D515_Medium_Original.pdf
Der Fluß - D693 | Schubert, Franz | Medium | Original | Der_Fluß_-_D693_Medium_Original.pdf
Der Geistertanz - D116 | Schubert, Franz | Medium | Original | Der_Geistertanz_-_D116_Medium_Original.pdf
Der Geistertanz - D15 | Schubert, Franz | Medium | Original | Der_Geistertanz_-_D15_Medium_Original.pdf
Der Geistertanz - D15A | Schubert, Franz | Medium | Original | Der_Geistertanz_-_D15A_Medium_Original.pdf
Der getäuschte Verräther - D902 | Schubert, Franz | Low | Original | Der_getäuschte_Verräther_-_D902_Low_Original.pdf
Der Goldschmiedsgeselle - D560 | Schubert, Franz | Medium | Original | Der_Goldschmiedsgeselle_-_D560_Medium_Original.pdf
Der Gott und die Bajadere - D254 | Schubert, Franz | Medium | Original | Der_Gott_und_die_Bajadere_-_D254_Medium_Original.pdf
Der gute Hirt - D449 | Schubert, Franz | Medium | Original | Der_gute_Hirt_-_D449_Medium_Original.pdf
Der Herbstabend - D405 | Schubert, Franz | Medium | Original | Der_Herbstabend_-_D405_Medium_Original.pdf
Der Hirt - D490 | Schubert, Franz | Medium | Original | Der_Hirt_-_D490_Medium_Original.pdf
Der Hirt auf dem Felsen - D965 | Schubert, Franz | Medium | Original | Der_Hirt_auf_dem_Felsen_-_D965_Medium_Original.pdf
Der Jüngling am Bache - D192 | Schubert, Franz | Medium | Original | Der_Jüngling_am_Bache_-_D192_Medium_Original.pdf
Der Jüngling am Bache - D30 | Schubert, Franz | Medium | Original | Der_Jüngling_am_Bache_-_D30_Medium_Original.pdf
Der Jüngling am Bache - D638 | Schubert, Franz | Medium | Original | Der_Jüngling_am_Bache_-_D638_Medium_Original.pdf
Der Jüngling am Bache - D638 or 30 or 192 | Schubert, Franz | Medium | Original | Der_Jüngling_am_Bache_-_D638_or_30_or_192_Medium_Original.pdf
Der Jüngling an der Quelle - D300 | Schubert, Franz | Medium | Original | Der_Jüngling_an_der_Quelle_-_D300_Medium_Original.pdf
Der Jüngling auf dem Hügel - D702 | Schubert, Franz | Medium | Original | Der_Jüngling_auf_dem_Hügel_-_D702_Medium_Original.pdf
Der Jüngling und der Tod - D545 | Schubert, Franz | Medium | Original | Der_Jüngling_und_der_Tod_-_D545_Medium_Original.pdf
Der Kampf - D594 | Schubert, Franz | Medium | Original | Der_Kampf_-_D594_Medium_Original.pdf
Der Knabe - D692 | Schubert, Franz | Medium | Original | Der_Knabe_-_D692_Medium_Original.pdf
Der Knabe in der Wiege - D579 | Schubert, Franz | Medium | Original | Der_Knabe_in_der_Wiege_-_D579_Medium_Original.pdf
Der König von Thule - D367 | Schubert, Franz | Medium | Original | Der_König_von_Thule_-_D367_Medium_Original.pdf
Der Kreuzzug - D932 | Schubert, Franz | Medium | Original | Der_Kreuzzug_-_D932_Medium_Original.pdf
Der Leidende - D432 | Schubert, Franz | Medium | Original | Der_Leidende_-_D432_Medium_Original.pdf
Der Liebende - D207 | Schubert, Franz | Medium | Original | Der_Liebende_-_D207_Medium_Original.pdf
Der liebliche Stern - D861 | Schubert, Franz | Medium | Original | Der_liebliche_Stern_-_D861_Medium_Original.pdf
Der Liedler - D209 | Schubert, Franz | Medium | Original | Der_Liedler_-_D209_Medium_Original.pdf
Der Mondabend - D141 | Schubert, Franz | Medium | Original | Der_Mondabend_-_D141_Medium_Original.pdf
Der Morgenkuß - D264 | Schubert, Franz | Medium | Original | Der_Morgenkuß_-_D264_Medium_Original.pdf
Der Musensohn - D764 | Schubert, Franz | Medium | Original | Der_Musensohn_-_D764_Medium_Original.pdf
Der Pilgrim - D794 | Schubert, Franz | Medium | Original | Der_Pilgrim_-_D794_Medium_Original.pdf
Der Rattenfänger - D255 | Schubert, Franz | Medium | Original | Der_Rattenfänger_-_D255_Medium_Original.pdf
Der Sänger - D149 | Schubert, Franz | Medium | Original | Der_Sänger_-_D149_Medium_Original.pdf
Der Sänger am Felsen - D482 | Schubert, Franz | Medium | Original | Der_Sänger_am_Felsen_-_D482_Medium_Original.pdf
Der Schäfer und der Reiter - D517 | Schubert, Franz | Medium | Original | Der_Schäfer_und_der_Reiter_-_D517_Medium_Original.pdf
Der Schatzgräber - D256 | Schubert, Franz | Medium | Original | Der_Schatzgräber_-_D256_Medium_Original.pdf
Der Schiffer - D536 | Schubert, Franz | Low | Original | Der_Schiffer_-_D536_Low_Original.pdf
Der Schiffer - D694 | Schubert, Franz | Medium | Original | Der_Schiffer_-_D694_Medium_Original.pdf
Der Schmetterling - D633 | Schubert, Franz | Medium | Original | Der_Schmetterling_-_D633_Medium_Original.pdf
Der Sieg - D805 | Schubert, Franz | Low | Original | Der_Sieg_-_D805_Low_Original.pdf
Der Strom - D565 | Schubert, Franz | Low | Original | Der_Strom_-_D565_Low_Original.pdf
Der Taucher - D77 | Schubert, Franz | Low | Original | Der_Taucher_-_D77_Low_Original.pdf
Der Tod Oskars - D375 | Schubert, Franz | Medium | Original | Der_Tod_Oskars_-_D375_Medium_Original.pdf
Der Tod und das Mädchen - D531 | Schubert, Franz | Medium | Original | Der_Tod_und_das_Mädchen_-_D531_Medium_Original.pdf
Der Traum - D213 | Schubert, Franz | Medium | Original | Der_Traum_-_D213_Medium_Original.pdf
Der Unglückliche - D713 | Schubert, Franz | Medium | Original | Der_Unglückliche_-_D713_Medium_Original.pdf
Der Vater mit dem Kinde - D906 | Schubert, Franz | Medium | Original | Der_Vater_mit_dem_Kinde_-_D906_Medium_Original.pdf
Der Vatermörder - D10 | Schubert, Franz | Medium | Original | Der_Vatermörder_-_D10_Medium_Original.pdf
Der Wachtelschlag - D742 | Schubert, Franz | Medium | Original | Der_Wachtelschlag_-_D742_Medium_Original.pdf
Der Wallensteiner Lanzknecht - D931 | Schubert, Franz | Medium | Original | Der_Wallensteiner_Lanzknecht_-_D931_Medium_Original.pdf
Der Wanderer - D489 | Schubert, Franz | Medium | Original | Der_Wanderer_-_D489_Medium_Original.pdf
Der Wanderer - D489 or 493 | Schubert, Franz | Medium | Original | Der_Wanderer_-_D489_or_493_Medium_Original.pdf
Der Wanderer - D649 | Schubert, Franz | Medium | Original | Der_Wanderer_-_D649_Medium_Original.pdf
Der Wanderer an den Mond - D870 | Schubert, Franz | Medium | Original | Der_Wanderer_an_den_Mond_-_D870_Medium_Original.pdf
Der Weiberfreund - D271 | Schubert, Franz | Medium | Original | Der_Weiberfreund_-_D271_Medium_Original.pdf
Der Winterabend - D938 | Schubert, Franz | Medium | Original | Der_Winterabend_-_D938_Medium_Original.pdf
Der Zufriedene - D320 | Schubert, Franz | Medium | Original | Der_Zufriedene_-_D320_Medium_Original.pdf
Der zürnende Barde - D707 | Schubert, Franz | Medium | Original | Der_zürnende_Barde_-_D707_Medium_Original.pdf
Der zürnende Barde - D785 | Schubert, Franz | Low | Original | Der_zürnende_Barde_-_D785_Low_Original.pdf
Der zürnenden Diana - D707 | Schubert, Franz | Medium | Original | Der_zürnenden_Diana_-_D707_Medium_Original.pdf
Der Zwerg - D771 | Schubert, Franz | Medium | Original | Der_Zwerg_-_D771_Medium_Original.pdf
Des Fischers Liebesglück - D933 | Schubert, Franz | Medium | Original | Des_Fischers_Liebesglück_-_D933_Medium_Original.pdf
Des Mädchens Klage - D191 | Schubert, Franz | High | Original | Des_Mädchens_Klage_-_D191_High_Original.pdf
Des Mädchens Klage - D389 | Schubert, Franz | Medium | Original | Des_Mädchens_Klage_-_D389_Medium_Original.pdf
Des Mädchens Klage - D6 | Schubert, Franz | Medium | Original | Des_Mädchens_Klage_-_D6_Medium_Original.pdf
Des Sängers Habe - D832 | Schubert, Franz | Medium | Original | Des_Sängers_Habe_-_D832_Medium_Original.pdf
Die abgeblühte Linde - D514 | Schubert, Franz | Medium | Original | Die_abgeblühte_Linde_-_D514_Medium_Original.pdf
Die Allmacht - D852 | Schubert, Franz | Medium | Original | Die_Allmacht_-_D852_Medium_Original.pdf
Die Befreier Europas in Paris - D104 | Schubert, Franz | Low | Original | Die_Befreier_Europas_in_Paris_-_D104_Low_Original.pdf
Die Berge - D634 | Schubert, Franz | Medium | Original | Die_Berge_-_D634_Medium_Original.pdf
Die Betende - D102 | Schubert, Franz | Medium | Original | Die_Betende_-_D102_Medium_Original.pdf
Die Blumensprache - D519 | Schubert, Franz | Medium | Original | Die_Blumensprache_-_D519_Medium_Original.pdf
Die Bürgschaft - D246 | Schubert, Franz | Medium | Original | Die_Bürgschaft_-_D246_Medium_Original.pdf
Die drei Sänger - D329 | Schubert, Franz | Medium | Original | Die_drei_Sänger_-_D329_Medium_Original.pdf
Die Einsiedelei - D393 or 563 | Schubert, Franz | Medium | Original | Die_Einsiedelei_-_D393_or_563_Medium_Original.pdf
Die Einsiedelei - D563 | Schubert, Franz | Medium | Original | Die_Einsiedelei_-_D563_Medium_Original.pdf
Die erste Liebe - D182 | Schubert, Franz | Medium | Original | Die_erste_Liebe_-_D182_Medium_Original.pdf
Die Erwartung - D159 | Schubert, Franz | Medium | Original | Die_Erwartung_-_D159_Medium_Original.pdf
Die Forelle - D550 | Schubert, Franz | Medium | Original | Die_Forelle_-_D550_Medium_Original.pdf
Die Fröhlichkeit - D262 | Schubert, Franz | Medium | Original | Die_Fröhlichkeit_-_D262_Medium_Original.pdf
Die frühe Liebe - D430 | Schubert, Franz | Medium | Original | Die_frühe_Liebe_-_D430_Medium_Original.pdf
Die frühen Gräber - D290 | Schubert, Franz | Medium | Original | Die_frühen_Gräber_-_D290_Medium_Original.pdf
Die Gebüsche - D646 | Schubert, Franz | Medium | Original | Die_Gebüsche_-_D646_Medium_Original.pdf
Die gefangenen Sänger - D712 | Schubert, Franz | Medium | Original | Die_gefangenen_Sänger_-_D712_Medium_Original.pdf
Die Gestirne - D444 | Schubert, Franz | Medium | Original | Die_Gestirne_-_D444_Medium_Original.pdf
Die Götter Griechenlands - D677 | Schubert, Franz | Medium | Original | Die_Götter_Griechenlands_-_D677_Medium_Original.pdf
Die Herbstnacht - D404 | Schubert, Franz | Medium | Original | Die_Herbstnacht_-_D404_Medium_Original.pdf
Die Hoffnung - D637 | Schubert, Franz | Medium | Original | Die_Hoffnung_-_D637_Medium_Original.pdf
Die junge Nonne - D828 | Schubert, Franz | Medium | Original | Die_junge_Nonne_-_D828_Medium_Original.pdf
Die Knabenzeit - D400 | Schubert, Franz | Medium | Original | Die_Knabenzeit_-_D400_Medium_Original.pdf
Die Laube - D214 | Schubert, Franz | Medium | Original | Die_Laube_-_D214_Medium_Original.pdf
Die Liebe - D522 | Schubert, Franz | Medium | Original | Die_Liebe_-_D522_Medium_Original.pdf
Die Liebe [Klärchens Lied] - D210 | Schubert, Franz | Medium | Original | Die_Liebe_[Klärchens_Lied]_-_D210_Medium_Original.pdf
Die Liebende schreibt - D673 | Schubert, Franz | Medium | Original | Die_Liebende_schreibt_-_D673_Medium_Original.pdf
Die Liebesgötter - D446 | Schubert, Franz | Medium | Original | Die_Liebesgötter_-_D446_Medium_Original.pdf
Die Macht der Augen - D902 | Schubert, Franz | Low | Original | Die_Macht_der_Augen_-_D902_Low_Original.pdf
Die Macht der Liebe - D308 | Schubert, Franz | Medium | Original | Die_Macht_der_Liebe_-_D308_Medium_Original.pdf
Die Mainacht - D194 | Schubert, Franz | Medium | Original | Die_Mainacht_-_D194_Medium_Original.pdf
Die Männer sind mechant - D866 | Schubert, Franz | Medium | Original | Die_Männer_sind_mechant_-_D866_Medium_Original.pdf
Die Mutter Erde - D788 | Schubert, Franz | Medium | Original | Die_Mutter_Erde_-_D788_Medium_Original.pdf
Die Nacht - D358 | Schubert, Franz | Medium | Original | Die_Nacht_-_D358_Medium_Original.pdf
Die Nacht - D534 | Schubert, Franz | Medium | Original | Die_Nacht_-_D534_Medium_Original.pdf
Die Nonne - D208 | Schubert, Franz | Medium | Original | Die_Nonne_-_D208_Medium_Original.pdf
Die Perle - D466 | Schubert, Franz | Medium | Original | Die_Perle_-_D466_Medium_Original.pdf
Die Rose - D745 | Schubert, Franz | Medium | Original | Die_Rose_-_D745_Medium_Original.pdf
Die Schatten - D50 | Schubert, Franz | Medium | Original | Die_Schatten_-_D50_Medium_Original.pdf
Die schöne Müllerin - 00. Full Cycle - D795 | Schubert, Franz | High | Original | Die_schöne_Müllerin_-_00._Full_Cycle_-_D795_High_Original.pdf
Die schöne Müllerin - 01. Das Wandern - D795 | Schubert, Franz | High | Original | Die_schöne_Müllerin_-_01._Das_Wandern_-_D795_High_Original.pdf
Die schöne Müllerin - 02. Wohin? - D795 | Schubert, Franz | High | Original | Die_schöne_Müllerin_-_02._Wohin_-_D795_High_Original.pdf
